first_title,first_brand,first_price,second_title,second_brand,second_price,label
elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,elite screens,409.0,cinegray ezframe series fixed frame screen - 150 diagonal,elite,879.0,0
san diego padres iphone 4 case silicone cover,tribeca,24.99,georgia bulldogs iphone 4 case silicone cover,tribeca,17.99,0
innovera d3010 black compatible high-yield toner print cartridge,innovera,68.35,premium compatible hp 11x toner cartridge hp q6511x . black print cartridge high yield hp 12000 pages . .,compatible,28.92,0
pc treasures wireless optical mouse 2.4 ghz purple,pc treasures,17.82,inland pro 2.4 ghz wireless optical mouse,inland,12.98,0
hon metal bookcase 34-1 2w x 12-5 8d x 81-1 8h,hon,369.0,new-hon s60abcq - metal bookcase 4 shelves 34-1 2w x 12-5 8d x 59h light gray - hons60abcq,hon,334.0,0
msi ati radeon hd6670 1gb ddr5 pci-express video card,msi,107.0,xfx ati radeon hd6570 1 gb ddr3 vga dvi hdmi pci-express video card hd657xzhf2,xfx,77.64,0
sumdex slr camera sling pack,sumdex,39.99,slr camera sling pack,sumdex,44.59,1
xerox 108r00645 imaging unit for phaser 6300 and 6350 printer,xerox,244.84,xerox printers imaging unit phaser 6300 6350 108 r00645,xerox,253.79,1
micronet mde1000 1tb fantom g-force megadisk usb 2.0 esata raid sub system,micronet,159.0,fantom g force megadisk 4 tb usb 2.0 esata mde4000,micronet,233.08,0
toshiba ph3100u-1e3s 1tb usb 3.0 desktop hard drive,toshiba,89.0,toshiba 1 tb usb 3.0 external hard drive ph3100u-1e3s black silver,toshiba,80.23,1
incipio smart feather for apple ipad 2 light blue,incipio,33.25,incipio ipad-209 feather for apple ipad 2 - iridescent purple,incipio,21.16,0
da-lite da-plex standard rear projection screen - 60 x 80 video format,da-lite,2931.99,da-plex standard rear projection screen - 96 x 96 av format,da-lite,5912.99,0
sharpie retractable permanent markers fine point set of 12 black,sharpie,13.64,new-sharpie 32730pp - retractable permanent markers fine point assorted 8 set - san32730pp,sharpie,33.68,0
nzxt phantom crafted series atx full tower steel chassis black,nzxt,139.82,nzxt crafted series atx full tower steel chassis - phantom white with red trim computer case cs-nt-phan-wnr white red,nzxt,139.99,0
sharpie permanent markers fine point - black - 12 count,sharpie,8.24,new-sharpie 37001 - permanent markers ultra fine point black dozen - san37001,sharpie,27.07,0
elite screens cinegray prime vision series fixed frame screen - 135 diagonal,elite screens,1069.0,powergain prime vision series fixed frame screen - 120 diagonal,elite,929.0,0
amzer anti-glare screen protector for ipad 2,amzer,13.88,mygear products 2 clear 2 anti-glare 2 anti-fingerprint combo pack screen protectors for ipad 2 combo pack,mygear products,18.95,0
elite m85xws1 screens manual pull down projection screen,elite screens,60.84,dalite manual wall and ceiling screen accessory pull rod projection screen,da-lite screen,9.95,0
netgear powerline av 500 adapter,netgear,79.82,netgear xav5001 powerline av 500 adapter,netgear,69.99,1
asus radeon hd5570 1gb ddr5 pci express graphics card,asus,180.41,visiontek ati radeon hd 5550 1 gb ddr pci express graphics card 900331,visiontek,54.99,0
da-lite da-plex deluxe rear projection screen - 36 x 48 video format,da-lite,1630.99,da-glas base rear projection screen - 43 1 4 x 57 3 4 video format,da-lite,1519.99,0
da-lite dual vision tensioned advantage deluxe electrol - hdtv format 92 diagonal,da-lite,4242.99,da-lite tensioned advantage deluxe electrol - projection screen motorized - 92 in - 16 9 - pearlescent,da-lite,3740.0,0
chicago cubs pink iphone 4 hard case,tribeca,29.99,chicago bulls iphone 3g duo case,tribeca,9.99,0
da-lite da-glas deluxe rear projection screen - 96 x 96 av format,da-lite,6128.99,da-plex standard rear projection screen - 96 x 96 av format,da-lite,5912.99,0
hon 10700 series right pedestal credenza 72w x 24d x 29-1 2h mahogany,hon,799.0,new-hon 10546lnn - 10500 series 3 4-height left pedestal credenza 72w x 24d x 29-1 2h mahogany - hon10546lnn,hon,1425.0,0
da-lite video spectra 1.5 model c with csr manual screen - 69 x 92 video format,da-lite,657.99,da-lite deluxe model b video spectra 1.5 - projection screen,da-lite,125.95,0
pc treasures clickit classic mouse black,pc treasures,16.8,pc treasures clickit classic mouse - navy 07669,pc treasures,16.95,0
da-lite da-plex self trimming rear projection screen - 96 x 120 av format,da-lite,7799.99,da-lite da-glas thru-the-wall rear projection screen - 72 x 96 video format,da-lite,8968.99,0
visontek wireless candyboard mini keyboard with touchpad,visiontek,59.82,visiontek candyboard bluetooth wireless mini keyboard with touchpad 900335 black,visiontek,49.99,0
hp c6020b coated paper 1 roll 36-inches x 150 ft,hp,49.88,hp universal coated paper 42 inches x 150 feet roll,hp,32.23,0
belkin basic wireless n150 usb adapter,belkin,29.99,belkin n150 wireless usb adapter latest generation,belkin,29.99,0
da-lite video spectra 1.5 deluxe model b manual screen - 50 x 67 video format,da-lite,181.99,da-lite model b with csr video spectra 1.5 - projection screen - 106 in,da-lite,279.5,0
visiontek 900252 radeon hd 4650 1 gb 128-bit gddr2 pci express 2.0 graphics card .,visiontek,86.92,visiontek ati radeon hd 4670x2 2 gb ddr3 pci express graphics card 900307,visiontek,281.99,0
hp c7971a lto ultrium 1 tape cartridge,hp,39.88,tandberg lto ultrium 100 200gb tape cartridge,tandberg,34.91,0
sharpie permanent markers fine point - black - 12 count,sharpie,8.24,new-sharpie 1738519 - grip permanent marker fine point black dozen - san1738519,sharpie,33.09,0
snapshield p2 polycarbonate case ipad 2 smoke,scosche,20.88,scosche snapshield p2 polycarbonate case ipad 2 - purple ipd2pcpu,scosche,14.09,0
panasonic slimz over-ear headphone black pink rp-hx40-pk,panasonic,34.88,panasonic rp-hje350-k slimz in-ear earbud headphones black,panasonic,18.54,0
da-lite da-tex rear tensioned advantage electrol - av format 8 x 8 diagonal,da-lite,2549.38,hc cinema perf tensioned advantage deluxe electrol - hdtv format size 92 diagonal,da-lite,4200.0,0
da-lite da-plex thru-the-wall rear projection screen - 81 x 108 video format,da-lite,10048.99,da-lite da-plex unframed rear projection screen - 108 x 144 video format,da-lite,8094.0,0
clickfree c2 500gb usb 3.0 portable external hard drive,clickfree,84.98,verbatim acclaim 320 gb usb 2.0 portable external hard drive 97185 blue,verbatim,59.84,0
lexmark e450h11a toner 11000 page-yield black,lexmark,248.27,hewlettpkr q7516a hp 16a toner 12 000 page-yield black,hp,144.44,0
xfx amd radeon hd 6950 1gb ddr5 graphics card,xfx,269.82,xfx hd 6850 775m 1 gb ddr5 graphics card hd685xznfc,xfx,163.99,0
static cling screen protector kit for apple ipad 2,writeright,0.0,green onions supply glossy screen protector for apple ipad,green,18.36,0
buffalo technology linkstation duo 1 tb 2 x 500 gb network attached storage ls-wx1 .0 tl r1,buffalo technology,192.63,buffalo technology linkstation pro quad 2 tb 4 x 500 gb raid network attached storage nas ls-qv2 .0 tl r5 black,buffalo technology,399.82,0
crown tire-track scraper needlepunch polypropylene vinyl mat 48 x 72 anthracite,crown,124.97,new-crown te0035ac - tire-track scraper mat needlepunch polypropylene vinyl 36 x 60 anthracite - cwnte0035ac,crown,108.0,0
lexmark x644a11a black toner print cartridge,lexmark,326.24,lexmark 18c1428 return program print cartridge black,lexmark,19.97,0
microsoft publisher 2010,microsoft,117.54,microsoft publisher 2007 version upgrade old version,microsoft,99.95,0
cyber acoustics computer stereo silver headset microphone,cyber acoustics,14.84,cyber acousticsstereo headset microphone ambidextrous design ac-201,cyber acoustics,10.33,0
case logic 16 value laptop briefcase black,case logic,22.0,case logic vna-216 16-inch laptop attache black,case logic,24.12,0
buffalo technology ministation metro 1 tb usb 2.0 portable external hard drive with integrated flex cable encryption and turbopc hd-pxt1tu2 b black,buffalo technology,99.82,buffalo technology ministation stealth 500 gb usb 2.0 portable external hard drive hd-pct500u2 b black,buffalo technology,49.99,0
canon mp41dhii printing calculator,canon,70.88,canon mp11dx soft touch printing calculator,canon,41.36,0
human toolz 3-in-1 netbook pad galaxy black champagne,human toolz,9.88,human toolz 3-in-1 notebook pad galaxy black,humantoolz,5.99,0
3m dry-erase board porcelain 6 x4 aluminum frame,3m,579.29,new-quartet p563t - euro frame dry-erase board porcelain steel 36 x 24 white aluminum frame - qrtp563t,quartet,266.0,0
iluv micro-sizeusb car charger,iluv,9.88,dual usb car charger,amp,5.14,0
wintec filemate 4gb compactflash memory card,wintec,15.98,dane-elec 8 gb compactflash memory card da-cf-8192-r,dane-elec,10.95,0
sabrent 6-in-1 usb 2.0 flash memory card reader,sabrent,10.98,i-rocks 16-in-1 usb 2.0 flash memory card reader ir-5400-sl,buslink,16.38,0
samsung s2 640gb usb 3.0 portable external hard drive red,samsung,78.88,cavalry usb 3.0 portable external hard drive enclosure en-caug-3b black,cavalry,28.29,0
netgear prosafe gs716t 16-port ethernet switch,netgear,238.0,netgear prosafe 16-port fast ethernet unmanaged plus switch fs116e,netgear,69.99,0
epson t020201 color ink cartridge,epson,27.0,epson t029201 tri-color ink cartridge,epson,14.69,0
targus red tg-6660tr tripod with 3-way panhead,targus,29.98,new-targus red tg-6660tr tripod with 3-way panhead 66 - meytg6660tr,targus,31.0,1
xfx radeon hd6850 pcie 1gb ddr5 graphics card,xfx,195.0,xfx hd 6850 775m 1 gb ddr5 graphics card hd685xznfc,xfx,163.99,0
lexmark x644a11a black toner print cartridge,lexmark,326.24,canon 104 black toner cartridge,canon,64.06,0
xantech sllc1 speaker level to line converter,xantech,40.88,xantech sllc1 speaker level to line converter,xantech,28.42,1
logitech m305 wireless mouse black,logitech,29.73,logitech wireless mouse m310 blue shards 910-002483,logitech,19.95,0
ilive app-enhanced boom box with ipod iphone dock,ilive,63.88,ilive ibp391b portable app-enhanced boombox am fm radio with dock for iphone ipod,ilive,41.24,1
verbatim 96438 2gb store n go usb 2.0 flash drive,verbatim,14.84,verbatim store n go 16 gb usb 2.0 flash drive 96317 red,verbatim,22.99,0
comprehensive 1 4 standard stereo phone jack cable end set of 25,comprehensive,35.75,comprehensive cables standard series hd15 plug to jack cable 25ft,comprehensive,26.7,0
brother dk2113 ql label printers continuous length tape,brother,64.88,brother dk-2606 continuous length film label roll black yellow,brother,50.69,0
vtech ds6151 2-line expandable cordless phone with digital answering system caller id,vtech,62.51,vtech cs6419-2 dect 6.0 digital two handset cordless phone system with caller id,vtech,31.29,0
seagate blackarmor nas 440 is a 4tb network attached storage server,seagate,599.0,seagate blackarmor nas 220 2 - bay 6 tb 2 x 3 tb network attached storage stav6000100 black,seagate,529.82,0
innovera heavyweight photo paper matte 8-1 2 x 11 50 sheets pack,innovera,11.7,epson amer premium photo paper 68 lbs . high-gloss 8-1 2 x 11 50 sheets pack,epson,26.95,0
vantec 2 1 sata 6g and pata pci-e combo host card w raid,vantec,40.33,vantec 4 1 sata ii 300 and pata pci-e combo host card with raid,vantec,26.64,0
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,da-lite,11385.99,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,da-lite,8729.48,0
kodak easyshare c1550 purple 16mp digital camera bundle w 5x optical zoom 3.0 lcd display w 50 bonus prints,kodak,89.0,kodak easyshare c183 14mp digital camera w 3x optical zoom 3.0 inch lcd black,kodak,79.99,0
philips 6-outlet 3 surge protector,philips,0.0,philips gp6pc6f 6-outlet home entertainment surge protector with 6-foot cord,philips,14.95,0
da-lite silver matte model c manual screen - 7 x 9 av format,da-lite,454.5,da-lite model c with csr - projection screen - 1 1 - silver matte,da-lite,401.95,0
microsoft vx-5000 lifecam webcam red,microsoft,27.82,microsoft lifecam hd-3000 t3h-00001,microsoft,30.24,0
hon metal bookcase 34-1 2w x 12-5 8d x 81-1 8h,hon,369.0,new-hon s72abcl - metal bookcase 5 shelves 34-1 2w x 12-5 8d x 71h putty - hons72abcl,hon,380.0,0
verbatim smartdisk acclaim 320gb usb portable hard drive blue,verbatim,59.84,verbatim acclaim 320 gb usb 2.0 portable external hard drive 97185 blue,verbatim,59.84,1
kingston ktd-dm8400a 1g 1gb ddr2 sdram memory module,kingston,22.92,kingston 8 gb ddr2 sdram memory module 8 gb 667mhz ddr2 sdram 240pin kth-xw9400k2 8g,kingston,224.65,0
v7 10 cat5e snagless network patch cable blue,v7,4.88,v7 cat5e snagless molded network patch cable rj45 male to male green 14-feet v7n3c5e-14f-grns,v7,2.63,0
d-link dgs-1008p 8-port gigabit ethernet poe switch,d-link,179.99,d-link dgs 1008p - switch - unmanaged - 8 x 10 100 1000 - desktop - poe,d-link,132.0,1
chicago bears pro grip mouse,team pro mark,26.99,new york jets pro grip mouse,team promark,20.36,0
hp ce278a black laserjet print cartridge,hp,69.84,hp color laserjet cb390a print cartridge in retail packaging,hp,49.53,0
iogear miniview extreme multimedia kvm and peripheral sharing switch,iogear,85.0,iogear 2-port dual view kvm switch with audio and usb peripheral sharing gcs1742,iogear,167.99,0
clickfree c2 500gb usb 3.0 portable external hard drive,clickfree,84.98,hewlett packard hp portable 750 gb usb 3.0 2.0 external hard drive,hp,79.0,0
serif webplus essentials,serif,44.82,serif photoplus essentials software,serif,19.99,0
v7 3 cat6 snagless molded network patch cable black,v7,4.88,v7 cat5e snagless molded network patch cable rj45 male to male grey 2-feet v7n3c5e-02f-grys,v7,1.37,0
kodak easyshare c195 red 14.0 mp digital camera w bonus case bundle 5x optical zoom 3.0 lcd smart capture w 50 bonus prints,kodak,79.0,kodak easyshare c183 14mp digital camera w 3x optical zoom 3.0 inch lcd black,kodak,79.99,0
da-lite da-plex thru-the-wall rear projection screen - 81 x 108 video format,da-lite,10048.99,da-lite da-plex self trimming rear projection screen - 94 1 2 x 168 hdtv format,da-lite,9233.33,0
cyberpower 900 joules 6-outlet surge protector,cyberpower,13.88,tripp lite tlp606 6-outlet surge protector 720 joules,tripp lite,9.95,0
ihome wireless optical mouse black,ihome,25.56,logitech wireless mouse m305 black,logitech,20.59,0
da-lite da-glas deluxe rear projection screen - 40 1 4 x 53 3 4 video format,da-lite,1752.99,da-lite data pro thru-the-wall rear projection screen - 52 x 92 hdtv format,da-lite,15985.81,0
da-lite da-plex deluxe rear projection screen - 58 x 104 hdtv format,da-lite,4629.99,da-lite deluxe model b matte white - projection screen - 72 in,da-lite,127.1,0
corsair xms2 2gb 2 x 1gb pc2-6400 800mhz 240-pin ddr2 cl5 dual channel desktop memory kit - twin2x4096-6400c5c,corsair,72.82,corsair memory vs4gsds800d2 4 gb 2 x 2 gb pc2-6400 800mhz 200-pin ddr2 laptop memory kit,corsair,64.99,0
clickfree c2 500gb usb 3.0 portable external hard drive,clickfree,84.98,western digital wd elements se 1 tb usb 2.0 portable external hard drive,western digital,79.99,0
wintec filemate 4gb swivel usb flash drive black,wintec,7.84,wintec filemate 8 gb swivel usb drive - blue,wintec,14.99,0
edge tech proshot 4gb sdhc class 6 memory card,edge tech,10.88,dane-elec 4gb class 4 sdhc memory card,dane-elec,13.89,0
panasonic kx-tga6645b dect 6.0 plus expandable digital cordless answering system with 5 handsets,panasonic,150.0,panasonic dect 6.0 expandable digital cordless phone with talking caller id answering system - 2 handset pack,panasonic,91.41,0
corsair 115gb solid state drive corsair force series,corsair,261.25,corsair force series 115 gb sata 3.0 gb-s 2.5-inch high performance sata ii solid state drive f115gb2-brkt-a,corsair,178.12,1
canon cli-226 black ink tank,canon,13.97,canon pgi-220 ink tank black in retail packaging,canon,13.99,0
da-lite da-glas deluxe rear projection screen - 50 x 50 av format,da-lite,1919.99,da-lite - projection screen repair kit,da-lite,348.99,0
maxell 631012 blu-ray disc 15 pk,maxell,61.88,maxell 631004 blu-ray disc rewritable,maxell,25.96,0
mercury luggage executive computer backpack,mercury luggage,56.99,executive computer backpack,mercury,41.58,1
victor 1570-6 desktop two-color printing calculator,victor,199.88,1560-6 desktop calculator 12-digit fluorescent two-color printing black red,victor,144.95,0
