first_title,first_brand,first_price,second_title,second_brand,second_price,label
Samsung Galaxy S21 FE 5G SM-G990 6/128GB Szary,samsung,3499,Samsung S21 5G 128GB Phantom Gray lub Silver Poznań Długa 14,samsung,2699,1
Samsung Galaxy S21 Ultra 5G SM-G998 12/256GB Czarn,samsung,5297.73,Samsung S21 5G 8/128GB Dual sim Phantom Gray idealny,samsung,2399,1
Samsung Galaxy S21 5G SM-G991 8/128GB Szary,samsung,2949,Samsung Galaxy S21 (256GB) fiole+LED Etui (bez rat),samsung,2400,1
Samsung Galaxy S21 5G SM-G991 8/128GB Fioletowy,samsung,2999,"Galaxy s21 5g, używany",samsung,2600,1
Samsung Galaxy S21 Plus 5G SM-G996 8/128GB Czarny,samsung,3697,Samsung S21+ 5G 128GB Phantom Gray Poznań Długa 14,samsung,2999,1
Samsung Galaxy S21 Ultra 5G SM-G998 12/128GB Srebr,samsung,4699,Samsung s21 5g czarny prawie nowy,samsung,2500,1
Samsung Galaxy S21 5G SM-G991 8/128GB Biały,samsung,2999,"Samsung Galaxy S21 5G. Cały komplet, gwarancja !!!",samsung,2000,1
Samsung Galaxy S21 5G SM-G991 8/256GB Szary,samsung,3399,"Samsung Galaxy s21 fe, nowy, folia, z promocja",samsung,3099,1
Samsung Galaxy S21 5G SM-G991 8/128GB Różowy,samsung,2990,Sprzedam Samsunga S21 FE 5G,samsung,3100,1
Samsung Galaxy S21 Ultra 5G SM-G998 12/128GB Czarn,samsung,4947.73,Samsung Galaxy S21 5G,samsung,2000,1
Samsung Galaxy S21 Plus 5G SM-G996 8/256GB Czarny,samsung,3947.73,Samsung S21 ULTRA 12/256GB SM-G998 PL + Etui S Pen EF-PG99PTB,samsung,3999,1
Samsung Galaxy S21 FE 5G SM-G990 6/128GB Szary,samsung,3499,Samsung galaxy s21 256gb,samsung,2700,1
Samsung Galaxy S21 Ultra 5G SM-G998 12/256GB Srebr,samsung,5195,Samsung Galaxy S21 5G,samsung,3000,1
Samsung Galaxy S21 5G SM-G991 8/256GB Biały,samsung,3399,NOWY Samsung Galaxy S21 5G 128GB Phantom Gray TOMI-TECH,samsung,2499,1
Samsung Galaxy A21s SM-A217 3/32GB Czarny,samsung,999,Samsung Galaxy s21plus 5g OKAZJA Bez blokady,samsung,3200,1
Samsung Galaxy S21 5G SM-G991 8/256GB Fioletowy,samsung,3350,Samsung Galaxy S21 5G Snapdragon 888 256GB Olympic Edition,samsung,3300,1
Samsung Galaxy S21 5G SM-G991 8/256GB Różowy,samsung,3399,Samsung s21 5g 8/128gb Żory blokada wskakuje plus.,samsung,1150,1
Samsung Galaxy S21 Ultra 5G SM-G998 16/512GB Czarn,samsung,6699,Samsung S21 FE 5G White + Promocja na słuchawki,samsung,2800,1
Samsung Galaxy S21 Plus 5G SM-G996 8/256GB Fioleto,samsung,3945,SAMSUNG GALAXY S21 ULTRA 5G 256GB Sklep Manufaktura cena:4599,samsung,4599,1
Samsung Galaxy S21 Plus 5G SM-G996 8/256GB Srebrny,samsung,3798,Atrapa telefonu Samsung Galaxy S21 Ultra i inne,samsung,35,1
Samsung Galaxy S21 Plus 5G SM-G996 8/128GB Srebrny,samsung,3697,Samsung Galaxy S21 5G Nowy. Gwarancja 24 miesiące,samsung,2990,1
Samsung Galaxy S21 Plus 5G SM-G996 8/128GB Fioleto,samsung,3697,Samsung Galaxy S21 5G 256GB (różowy),samsung,2800,1
Samsung Galaxy A21s SM-A217 3/32GB Niebieski,samsung,959,Sprzedam uszkodzonego samsunga s 21 ultra 5g,samsung,200,1
Samsung Galaxy A21s SM-A217 3/32GB Biały,samsung,955,Samsung S21 5G/128GB/Phantom Gray /Nowy/Bez Rat/Starowiejska 19 Gdynia,samsung,2699,1
Samsung Galaxy S21 Ultra 5G SM-G998 16/512GB Srebr,samsung,6979,Samsung S21 FE 5G 6/128 GB lawendowy nowy,samsung,2750,1
Samsung Galaxy S5 Mini SM-G800 Czarny,samsung,1299,Samsung Galaxy S21 Ultra 16 GB / 512 GB Phantom Navy UNIKAT,samsung,6000,1
Samsung Galaxy S5 Mini SM-G800 Biały,samsung,1299,Nowy Samsung Galaxy  S21 5g 128gb  Gwar  2023 z Media  Markt,samsung,2300,1
Samsung Galaxy S21 FE 5G SM-G990 6/128GB  Lawendow,samsung,3499,Samsung Galaxy S21+ 5G 128GB+Ładowarka+Etui+Szkło+RTV Euro Agd,samsung,3699,1
Samsung Galaxy S21 FE 5G SM-G990 6/128GB Oliwkowy,samsung,3399,"Samsung Galaxy S21+ 5G 8GB/256GB, dual-sim, nowy, OKAZJA!, bez blokad!",samsung,2999,1
Samsung Galaxy S21 FE 5G SM-G990 6/128GB Oliwkowy,iphone,3399,iPhone 12 Pro Max 256gb Space Grey,iphone,4200,1
Apple iPhone 12 Pro Max 128GB Niebieski Pacific Bl,iphone,5798,Jak nowy iphone 12 Pro Max 128Gb na gwarancji Cena ostateczna,iphone,3800,1
Apple iPhone 12 Pro Max 128GB Srebrny Silver,iphone,6864.49,Iphone 12 Pro Max Pacific Blue 128Gb Ideał Zamiana Iphone 13,iphone,3799,1
Apple iPhone 12 Pro Max 256GB Srebrny Silver,iphone,6399,Apple iPhone 13 Pro 128GB/Max GOLD Blue NOWY dostawa Wwa+100km PL GW12,iphone,5199,1
Apple iPhone 12 Pro Max 128GB Grafitowy Graphite,iphone,5999,iphone 12 pro max pacific blue,iphone,4099,1
Apple iPhone 12 Pro Max 256GB Grafitowy Graphite,iphone,5545,Iphone 12 Pro Max Gold 128GB Zamiana,iphone,4299,1
Apple iPhone 12 Pro Max 256GB Niebieski Pacific Bl,iphone,6099,Idealny z X-kom iPhone 12 Pro Max 256 grafitowy,iphone,4500,1
Apple iPhone 12 Pro 128GB Grafitowy Graphite,iphone,5019.99,iPhone 12 Pro Max Gold (Złoty) 128GB,iphone,4000,1
Apple iPhone 12 Pro 128GB Niebieski Pacific Blue,iphone,5250,Iphone 12 pro max 256,iphone,4500,1
Apple iPhone 12 Pro Max 256GB Złoty Gold,iphone,6928.06,iPhone 12 Pro Max Gold Nowy 128GB złoty,iphone,3400,1
Apple iPhone 12 Pro Max 512GB Niebieski Pacific Bl,iphone,5999,iPhone 12 Pro Max 128GB Pacific Blue Gwarancja Ideał + Szkło + Etui FV,iphone,4199,1
Apple iPhone 12 Pro Max 128GB Złoty Gold,iphone,6899,Sprzedam używany Iphone 12 pro max 128GB ( gwiezdna szarosc ),iphone,3500,1
Apple iPhone 12 Pro 256GB Grafitowy Graphite,iphone,5070,Iphone 12 pro max,iphone,4550,1
Apple iPhone 12 Pro 512GB Grafitowy Graphite,iphone,5399.99,iPhone 12 PRO MAX 512 GB,iphone,5500,1
Apple iPhone 12 Pro 128GB Złoty Gold,iphone,5295,iPhone 12 Pro Max 256 GB PACIFIC BLUE- niebieski,iphone,5000,1
Apple iPhone 12 Pro 256GB Niebieski Pacific Blue,iphone,5199,Iphone 12 pro max 256 Gb silver/ biały,iphone,4250,1
Apple iPhone 12 Pro Max 512GB Srebrny Silver,iphone,6564.03,Iphone 12 pro max 512gb,iphone,4700,1
Apple iPhone 13 Pro Max 256GB Mocny Grafit,iphone,6199,iPhone 12 pro max GOLD 128gb IDEALNY !!,iphone,3900,1
Apple iPhone 13 Pro Max 128GB Górski Błękit,iphone,5699,Apple iPhone 13 Pro 128GB/Max GOLD Blue NOWY dostawa Wwa+100km PL GW12,iphone,5199,1
Apple iPhone 12 Pro 128GB Srebrny Silver,iphone,5195,Iphone 12 Pro Max 128 Silver - Super Stan!,iphone,3950,1
Apple iPhone 13 Pro Max 256GB Górski Błękit,iphone,6199,Iphone 12 Pro Max Idealny Stan gratisy,iphone,4050,1
Apple iPhone 13 Pro Max 128GB Złoty,iphone,5699,Iphone 12 pro max 128gb perfekcyjny,iphone,4100,1
Apple iPhone 13 Pro Max 128GB Mocny Grafit,iphone,5699,IPhone 12 Pro Max 128gb Pacyfic Blue NOWY,iphone,4500,1
Apple iPhone 13 Pro Max 128GB Srebrny,iphone,5699,Telefon APPLE IPHONE 12 PRO Max 512GB Grafit lub Silver Poznań Długa,iphone,5199,1
