,first_title,first_brand,first_price,second_title,second_brand,second_price,pred
0,Samsung Galaxy S21 FE 5G SM-G990 6/128GB Oliwkowy,samsung,3099.0,Samsung Galaxy S21 5G Snapdragon 888 256GB Olympic Edition,samsung,3100,1
1,Samsung Galaxy S21 Ultra 5G SM-G998 12/256GB Czarn,samsung,5297.73,"GALAXY S21 5G, nowy, włączony tylko raz",samsung,2800,1
2,Samsung Galaxy S21 5G SM-G991 8/128GB Szary,samsung,2995.0,Samsung Galaxy S21 5G 256GB Piękny,samsung,2700,0
3,Samsung Galaxy S21 5G SM-G991 8/128GB Fioletowy,samsung,2999.0,Nowy Samsung Galaxy S21 5G z Media Expert 24mc Gwarancji,samsung,2670,1
4,Samsung Galaxy S21 Plus 5G SM-G996 8/128GB Czarny,samsung,3697.0,Smartfon Samsung Galaxy S21 Plus 8/256Gb Black/Purple Manufaktura,samsung,3499,0
5,Samsung Galaxy S21 Ultra 5G SM-G998 12/128GB Srebr,samsung,4699.0,Samsung s21 + ubezpieczenie,samsung,2400,1
6,Samsung Galaxy S21 5G SM-G991 8/128GB Biały,samsung,2999.0,Nowy Samsung Galaxy S21 plus 5G,samsung,4300,0
7,Samsung Galaxy S21 5G SM-G991 8/256GB Szary,samsung,3399.0,Samsung Galaxy S21 5G,samsung,2900,1
8,Samsung Galaxy S21 5G SM-G991 8/128GB Różowy,samsung,2999.0,Samsung Galaxy S 21 Plus,samsung,2500,0
9,Samsung Galaxy S21 Ultra 5G SM-G998 12/128GB Czarn,samsung,4947.73,Samsung Galaxy S21 5g 8/256 Gb Komplet lombard-pl,samsung,2570,0
10,Samsung Galaxy S21 Plus 5G SM-G996 8/256GB Czarny,samsung,3947.73,"Samsung S21 5G szary, 15 miesięcy gwarancji, z marketu, idealny!",samsung,2250,1
11,Samsung Galaxy S21 FE 5G SM-G990 6/128GB Szary,samsung,3499.0,NAJTANIEJ od ARTKOM Samsung Galaxy S21 kolory! 8/128GB 5G 2599ZŁ,samsung,2599,0
12,Samsung Galaxy S21 Ultra 5G SM-G998 12/256GB Srebr,samsung,5195.0,S21ultra 5g Black 128gb,samsung,3900,1
13,Samsung Galaxy S21 5G SM-G991 8/256GB Biały,samsung,3399.0,NOWY Samsung S21 5G Szary 8/128 Pobranie 0 zł GW24 FVAT,samsung,2949,1
14,Samsung Galaxy A21s SM-A217 3/32GB Czarny,samsung,999.0,Galaxy S21 FE 5G 6GB / 128 GB Grafitowy,samsung,2950,1
15,Samsung Galaxy S21 5G SM-G991 8/256GB Fioletowy,samsung,3399.0,Nowy Samsung S21+ 5G,samsung,3000,0
16,Samsung Galaxy S21 5G SM-G991 8/256GB Różowy,samsung,3399.0,Samsung S21 ultra 5G,samsung,4000,0
17,Samsung Galaxy S21 Plus 5G SM-G996 8/256GB Srebrny,samsung,3798.0,Samsung s21 plus 5g,samsung,2300,1
18,Samsung Galaxy S21 Plus 5G SM-G996 8/256GB Fioleto,samsung,3945.0,Samsung Galaxy S21 Plus 256GB Fiolet,samsung,2650,0
19,Samsung Galaxy S21 Plus 5G SM-G996 8/128GB Srebrny,samsung,3697.0,Nowy Samsung galaxy S21 Ultra 5G,samsung,5000,0
